"Origin","OriginTerm","CoreTerm"
"icd10cm:H30113:official","disseminated chorioretinal inflammation of posterior pole, bilateral","posterior pole bilateral disseminated chorioretinal inflammation"
"icd10cm:H30119:official","disseminated chorioretinal inflammation of posterior pole, unspecified eye","posterior pole eye disseminated chorioretinal inflammation"
"icd10cm:H3014:official","acute posterior multifocal placoid pigment epitheliopathy","multifocal placoid epitheliopathy"
"icd10cm:H3020:official","posterior cyclitis, unspecified eye","posterior cyclitis"
"icd10cm:H308:official","other chorioretinal inflammations","chorioretinal inflammations"
"icd10cm:H30811:official","harada's disease, right eye","harada's disease"
"icd10cm:H309:official","unspecified chorioretinal inflammation","chorioretinal inflammation"
"icd10cm:H31:official","other disorders of choroid","choroid disorders"
"icd10cm:H3100:official","unspecified chorioretinal scars","chorioretinal scars"
"icd10cm:H3101:official","macula scars of posterior pole (postinflammatory) (post-traumatic)","posterior pole postinflammatory post traumatic macula scars"
"icd10cm:H31011:official","macula scars of posterior pole (postinflammatory) (post-traumatic), right eye","posterior pole postinflammatory post traumatic right eye macula scars"
"icd10cm:H31012:official","macula scars of posterior pole (postinflammatory) (post-traumatic), left eye","posterior pole postinflammatory post traumatic left eye macula scars"
"icd10cm:H31013:official","macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral","posterior pole postinflammatory post traumatic bilateral macula scars"
"icd10cm:H31019:official","macula scars of posterior pole (postinflammatory) (post-traumatic), unspecified eye","posterior pole postinflammatory post traumatic eye macula scars"
"icd10cm:H31021:official","solar retinopathy, right eye","solar retinopathy"
"icd10cm:H3110:official","unspecified choroidal degeneration","choroidal degeneration"
"icd10cm:H3111:official","age-related choroidal atrophy","age related choroidal atrophy"
"icd10cm:H3112:official","diffuse secondary atrophy of choroid","choroid diffuse atrophy"
"icd10cm:H31121:official","diffuse secondary atrophy of choroid, right eye","choroid right eye diffuse atrophy"
"icd10cm:H31122:official","diffuse secondary atrophy of choroid, left eye","choroid left eye diffuse atrophy"
"icd10cm:H31123:official","diffuse secondary atrophy of choroid, bilateral","choroid bilateral diffuse atrophy"
"icd10cm:H31129:official","diffuse secondary atrophy of choroid, unspecified eye","choroid eye diffuse atrophy"
"icd10cm:H3120:official","hereditary choroidal dystrophy, unspecified","hereditary choroidal dystrophy"
"icd10cm:H3122:official","choroidal dystrophy (central areolar) (generalized) (peripapillary)","dystrophy areolar peripapillary"
"icd10cm:H3123:official","gyrate atrophy, choroid","gyrate atrophy"
"icd10cm:H313:official","choroidal hemorrhage and rupture","choroidal hemorrhage rupture"
"icd10cm:H3130:official","unspecified choroidal hemorrhage","choroidal hemorrhage"
"icd10cm:H31311:official","expulsive choroidal hemorrhage, right eye","expulsive choroidal hemorrhage"
"icd10cm:H31321:official","choroidal rupture, right eye","choroidal rupture"
"icd10cm:H3140:official","unspecified choroidal detachment","choroidal detachment"
