"Origin","OriginTerm","CoreTerm"
"icd10cm:B4289:official","other forms of sporotrichosis","sporotrichosis"
"icd10cm:B432:official","subcutaneous pheomycotic abscess and cyst","subcutaneous pheomycotic cyst"
"icd10cm:B438:official","other forms of chromomycosis","chromomycosis"
"icd10cm:B441:official","other pulmonary aspergillosis","pulmonary aspergillosis"
"icd10cm:B4489:official","other forms of aspergillosis","aspergillosis"
"icd10cm:B458:official","other forms of cryptococcosis","cryptococcosis"
"icd10cm:B465:official","mucormycosis, unspecified","mucormycosis"
"icd10cm:B468:official","other zygomycoses","zygomycoses"
"icd10cm:B469:official","zygomycosis, unspecified","zygomycosis"
"icd10cm:B479:official","mycetoma, unspecified","mycetoma"
"icd10cm:B488:official","other specified mycoses","specified mycoses"
"icd10cm:B49:official","unspecified mycosis","mycosis"
"icd10cm:B500:official","plasmodium falciparum malaria with cerebral complications","plasmodium falciparum malaria"
"icd10cm:B510:official","plasmodium vivax malaria with rupture of spleen","spleen plasmodium vivax malaria rupture"
"icd10cm:B518:official","plasmodium vivax malaria with other complications","plasmodium vivax malaria"
"icd10cm:B520:official","plasmodium malariae malaria with nephropathy","plasmodium malariae malaria"
"icd10cm:B531:official","malaria due to simian plasmodia","malaria"
"icd10cm:B559:official","leishmaniasis, unspecified","leishmaniasis"
"icd10cm:B569:official","african trypanosomiasis, unspecified","african trypanosomiasis"
"icd10cm:B570:official","acute chagas' disease with heart involvement","acute chagas disease"
"icd10cm:B572:official","chagas' disease (chronic) with heart involvement","chagas disease chronic"
"icd10cm:B5730:official","chagas' disease with digestive system involvement, unspecified","chagas disease"
"icd10cm:B5731:official","megaesophagus in chagas' disease","megaesophagus chagas disease"
"icd10cm:B5732:official","megacolon in chagas' disease","megacolon chagas disease"
"icd10cm:B5739:official","other digestive system involvement in chagas' disease","digestive chagas disease"
"icd10cm:B5741:official","meningitis in chagas' disease","meningitis chagas disease"
"icd10cm:B5742:official","meningoencephalitis in chagas' disease","meningoencephalitis chagas disease"
"icd10cm:B5749:official","other nervous system involvement in chagas' disease","involvement chagas disease"
"icd10cm:B5800:official","toxoplasma oculopathy, unspecified","toxoplasma oculopathy"
"icd10cm:B5883:official","toxoplasma tubulo-interstitial nephropathy","toxoplasma tubulo interstitial nephropathy"
"icd10cm:B5889:official","toxoplasmosis with other organ involvement","toxoplasmosis"
"icd10cm:B6000:official","babesiosis, unspecified","babesiosis"
"icd10cm:B6010:official","acanthamebiasis, unspecified","acanthamebiasis"
"icd10cm:B6011:official","meningoencephalitis due to acanthamoeba (culbertsoni)","meningoencephalitis"
"icd10cm:B6019:official","other acanthamebic disease","acanthamebic disease"
"icd10cm:B608:official","other specified protozoal diseases","specified protozoal diseases"
"icd10cm:B64:official","unspecified protozoal disease","protozoal disease"
"icd10cm:B650:official","schistosomiasis due to schistosoma haematobium [urinary schistosomiasis]","schistosomiasis"
"icd10cm:B668:official","other specified fluke infections","specified fluke infections"
"icd10cm:B669:official","fluke infection, unspecified","fluke infection"
"icd10cm:B670:official","echinococcus granulosus infection of liver","liver echinococcus granulosus infection"
"icd10cm:B671:official","echinococcus granulosus infection of lung","lung echinococcus granulosus infection"
"icd10cm:B672:official","echinococcus granulosus infection of bone","bone echinococcus granulosus infection"
"icd10cm:B6731:official","echinococcus granulosus infection, thyroid gland","echinococcus granulosus infection"
"icd10cm:B675:official","echinococcus multilocularis infection of liver","liver echinococcus multilocularis infection"
"icd10cm:B6761:official","echinococcus multilocularis infection, multiple sites","echinococcus multilocularis infection"
"icd10cm:B678:official","echinococcosis, unspecified, of liver","liver echinococcosis"
"icd10cm:B6790:official","echinococcosis, unspecified","echinococcosis"
"icd10cm:B689:official","taeniasis, unspecified","taeniasis"
"icd10cm:B690:official","cysticercosis of central nervous system","central nervous system cysticercosis"
"icd10cm:B691:official","cysticercosis of eye","eye cysticercosis"
"icd10cm:B6981:official","myositis in cysticercosis","myositis cysticercosis"
"icd10cm:B6989:official","cysticercosis of other sites","sites cysticercosis"
"icd10cm:B699:official","cysticercosis, unspecified","cysticercosis"
"icd10cm:B718:official","other specified cestode infections","specified cestode infections"
"icd10cm:B719:official","cestode infection, unspecified","cestode infection"
"icd10cm:B7300:official","onchocerciasis with eye involvement, unspecified","onchocerciasis"
"icd10cm:B740:official","filariasis due to wuchereria bancrofti","filariasis"
"icd10cm:B748:official","other filariases","filariases"
"icd10cm:B768:official","other hookworm diseases","hookworm diseases"
"icd10cm:B769:official","hookworm disease, unspecified","hookworm disease"
"icd10cm:B770:official","ascariasis with intestinal complications","ascariasis"
"icd10cm:B789:official","strongyloidiasis, unspecified","strongyloidiasis"
"icd10cm:B818:official","other specified intestinal helminthiases","specified intestinal helminthiases"
"icd10cm:B820:official","intestinal helminthiasis, unspecified","intestinal helminthiasis"
"icd10cm:B829:official","intestinal parasitism, unspecified","intestinal parasitism"
"icd10cm:B832:official","angiostrongyliasis due to parastrongylus cantonensis","angiostrongyliasis"
"icd10cm:B838:official","other specified helminthiases","specified helminthiases"
"icd10cm:B839:official","helminthiasis, unspecified","helminthiasis"
"icd10cm:B850:official","pediculosis due to pediculus humanus capitis","pediculosis"
"icd10cm:B854:official","mixed pediculosis and phthiriasis","mixed pediculosis phthiriasis"
"icd10cm:B8789:official","myiasis of other sites","sites myiasis"
"icd10cm:B879:official","myiasis, unspecified","myiasis"
"icd10cm:B8801:official","infestation by demodex mites","infestation demodex mites"
"icd10cm:B8809:official","other acariasis","acariasis"
"icd10cm:B881:official","tungiasis [sandflea infestation]","tungiasis sandflea infestation"
"icd10cm:B882:official","other arthropod infestations","arthropod infestations"
"icd10cm:B888:official","other specified infestations","specified infestations"
"icd10cm:B889:official","infestation, unspecified","infestation"
"icd10cm:B89:official","unspecified parasitic disease","parasitic disease"
"icd10cm:B900:official","sequelae of central nervous system tuberculosis","central nervous system tuberculosis sequelae"
"icd10cm:B901:official","sequelae of genitourinary tuberculosis","genitourinary tuberculosis sequelae"
"icd10cm:B902:official","sequelae of tuberculosis of bones and joints","tuberculosis bones joints sequelae"
"icd10cm:B908:official","sequelae of tuberculosis of other organs","tuberculosis organs sequelae"
"icd10cm:B909:official","sequelae of respiratory and unspecified tuberculosis","respiratory tuberculosis sequelae"
"icd10cm:B91:official","sequelae of poliomyelitis","poliomyelitis sequelae"
"icd10cm:B92:official","sequelae of leprosy","leprosy sequelae"
"icd10cm:B940:official","sequelae of trachoma","trachoma sequelae"
"icd10cm:B941:official","sequelae of viral encephalitis","viral encephalitis sequelae"
"icd10cm:B942:official","sequelae of viral hepatitis","viral hepatitis sequelae"
"icd10cm:B948:official","sequelae of other specified infectious and parasitic diseases","specified infectious parasitic diseases sequelae"
"icd10cm:B948:official+abbr","sequelae of oth infectious and parasitic diseases","oth infectious parasitic diseases sequelae"
"icd10cm:B949:official","sequelae of unspecified infectious and parasitic disease","infectious parasitic disease sequelae"
"icd10cm:B950:official","streptococcus, group a, as the cause of diseases classified elsewhere","diseases classified elsewhere streptococcus group as the cause"
"icd10cm:B950:official+abbr","streptococcus, group a, causing diseases classd elswhr","streptococcus"
"icd10cm:B951:official","streptococcus, group b, as the cause of diseases classified elsewhere","diseases classified elsewhere streptococcus group b as the cause"
"icd10cm:B952:official","enterococcus as the cause of diseases classified elsewhere","diseases classified elsewhere enterococcus as the cause"
"icd10cm:B953:official","streptococcus pneumoniae as the cause of diseases classified elsewhere","diseases classified elsewhere streptococcus pneumoniae as the cause"
"icd10cm:B953:official+abbr","streptococcus pneumoniae causing diseases classd elswhr","streptococcus classd elswhr"
"icd10cm:B954:official","other streptococcus as the cause of diseases classified elsewhere","diseases classified elsewhere streptococcus as the cause"
"icd10cm:B954:official+abbr","oth streptococcus as the cause of diseases classd elswhr","diseases classd elswhr oth streptococcus as the cause"
"icd10cm:B955:official+abbr","unsp streptococcus as the cause of diseases classd elswhr","diseases classd elswhr unsp streptococcus as the cause"
"icd10cm:B9561:official","methicillin susceptible staphylococcus aureus infection as the cause of diseases classified elsewhere","diseases classified elsewhere methicillin susceptible staphylococcus aureus infection as the cause"
"icd10cm:B9561:official+abbr","methicillin suscep staph infct causing dis classd elswhr","suscep staph elswhr"
"icd10cm:B9562:official","methicillin resistant staphylococcus aureus infection as the cause of diseases classified elsewhere","diseases classified elsewhere methicillin resistant staphylococcus aureus infection as the cause"
"icd10cm:B9562:official+abbr","methicillin resis staph infct causing diseases classd elswhr","resis staph elswhr"
"icd10cm:B957:official","other staphylococcus as the cause of diseases classified elsewhere","diseases classified elsewhere staphylococcus as the cause"
"icd10cm:B957:official+abbr","oth staphylococcus as the cause of diseases classd elswhr","diseases classd elswhr oth staphylococcus as the cause"
"icd10cm:B958:official+abbr","unsp staphylococcus as the cause of diseases classd elswhr","diseases classd elswhr unsp staphylococcus as the cause"
"icd10cm:B960:official","mycoplasma pneumoniae [m. pneumoniae] as the cause of diseases classified elsewhere","diseases classified elsewhere mycoplasma pneumoniae m pneumoniae as the cause"
"icd10cm:B960:official+abbr","mycoplasma pneumoniae as the cause of diseases classd elswhr","diseases classd elswhr mycoplasma pneumoniae as the cause"
"icd10cm:B961:official","klebsiella pneumoniae [k. pneumoniae] as the cause of diseases classified elsewhere","diseases classified elsewhere klebsiella pneumoniae k pneumoniae as the cause"
"icd10cm:B961:official+abbr","klebsiella pneumoniae as the cause of diseases classd elswhr","diseases classd elswhr klebsiella pneumoniae as the cause"
"icd10cm:B9620:official","unspecified escherichia coli [e. coli] as the cause of diseases classified elsewhere","diseases classified elsewhere escherichia coli e coli as the cause"
"icd10cm:B9620:official+abbr","unsp escherichia coli as the cause of diseases classd elswhr","diseases classd elswhr unsp escherichia coli as the cause"
